w K
1.04723e-06 451.116869758811
1.2706502647368e-06 694.314079185607
1.5417359083255e-06 1057.99266293247
1.87065605460885e-06 1588.77598391861
2.26974934925494e-06 2337.08781338902
2.7539868142786e-06 3343.51586949843
3.34153344981022e-06 4617.75281138666
4.05442965024708e-06 6119.43301453158
4.91941799646993e-06 7757.28733727569
5.9689464392402e-06 9415.65251289801
7.24238550578227e-06 10995.941159519
8.78750519011892e-06 12447.940030323
1.06622669291375e-05 13776.5747753029
1.29369978860451e-05 15029.1319096689
1.56970291042108e-05 16276.0412151101
1.90458964953704e-05 17594.2961722352
2.31092247395436e-05 19055.9670531722
2.80394397917968e-05 20720.7587880473
3.4021486774174e-05 22631.1967253533
4.12797677457139e-05 24809.9216658119
5.00865596042561e-05 27259.3448959021
6.07722278973137e-05 29964.013076823
7.37376196884801e-05 32895.5289255708
8.94691003678552e-05 36019.1543478765
0.00010855679847615 39300.7232856066
0.000131716742953029 42712.4647156162
0.00015981772323514 46236.7556688852
0.000193913879795617 49867.4587470806
0.000235284247680492 53609.0805410097
0.000285480736422388 57474.3499948962
0.00034638634618218 61480.9321420097
0.000420285803956725 65647.9302103436
0.000509951269599547 69992.6800047974
0.000618746326709065 74528.1740048302
0.000750752159351622 79261.3021642181
0.000910920647834635 84191.9694539883
0.00110526012654842 89313.0446942777
0.0013410607721339 94611.0109117283
0.00162716807686953 100067.128634204
0.00197431466597171 105658.895662549
0.00239552290613399 111361.591714447
0.00290659340819327 117149.729346257
0.00352669774892147 122998.283584763
0.00427909764647094 128883.629282073
0.00519201756760495 134784.166340085
0.00629970350046825 140680.651709101
0.00764370761020345 146556.281332483
0.00927444696816912 152396.5767725
0.0112530948267253 158189.13402751
0.0136538753861968 163923.290265683
0.0165668481366598 169589.761081155
0.0201012862224165 175180.298035505
0.0243897755603486 180687.413707144
0.0295931884806854 186104.218157101
0.0359067184643192 191424.405159327
0.0435672023552774 196642.417596221
0.0528620047234849 201753.808858152
0.0641397976532513 206755.801911902
0.0778236403352357 211648.032130625
0.0944268491112257 216433.447059571
0.114572253298169 221119.32924713
0.139015559127231 225718.409643479
0.168673698239691 230250.049914225
0.204659224165082 234741.491349759
0.248322047082485 239229.192756013
0.301300072443823 243760.304962377
0.365580643044949 248394.349661538
0.443575089395563 253205.179558501
0.538209184965216 258283.290499585
0.653032899515705 263738.531046709
0.792353567651301 269703.209220359
0.961397468083685 276335.530103614
1.16650587486782 283823.214100893
1.41537293499788 292387.048838794
1.71733429576728 302284.025560325
2.08371730905177 313809.612668793
2.52826594958443 327298.632953622
3.0676563870062 343124.138501938
3.7221225521337 361693.605170648
4.51621516405328 383441.659346665
5.47972269111147 408818.334153569
6.6487887934313 438271.428679401
8.06726816511423 472220.796512281
